player_name,player_type
Cameron Norrie,Counter-Puncher
Camilo Ugo Carabelli,Counter-Puncher
Carlos Alcaraz,Big-Serve Aggressor
Carlos Berlocq,Counter-Puncher
Carlos Costa,Counter-Puncher
Carlos Eduardo Severino,Baseline Grinder
Carlos Gimeno Valero,Baseline Grinder
Carlos Moya,Counter-Puncher
Carlos Taberner,Counter-Puncher
Casper Ruud,Big-Serve Aggressor
Cedric Pioline,All-Court Balanced
Cedrik Marcel Stebe,Counter-Puncher
Cem Ilkel,All-Court Balanced
Charles Broom,Counter-Puncher
Chase Buchanan,Counter-Puncher
Chieh Fu Wang,Baseline Grinder
Chris Guccione,All-Court Balanced
Chris Lewis,Baseline Grinder
Chris Woodruff,All-Court Balanced
Christian Bergstrom,All-Court Balanced
Christian Harrison,All-Court Balanced
Christian Saceanu,Counter-Puncher
Christoph Negritu,All-Court Balanced
Christophe Rochus,Baseline Grinder
Christophe Roger Vasselin,Baseline Grinder
Christopher Eubanks,Big-Serve Aggressor
Christopher Heyman,All-Court Balanced
Christopher Oconnell,Counter-Puncher
Chun Hsin Tseng,All-Court Balanced
Clement Chidekh,Counter-Puncher
Coleman Wong,All-Court Balanced
Colton Smith,Counter-Puncher
Conner Huertas Del Pino,Counter-Puncher
Constant Lestienne,All-Court Balanced
Cooper Kose,Baseline Grinder
Cooper Williams,Baseline Grinder
Corentin Denolly,Counter-Puncher
Corentin Moutet,Counter-Puncher
Corrado Barazzutti,Counter-Puncher
Corrado Borroni,Baseline Grinder
Cristian Garin,Counter-Puncher
Dalibor Svrcina,Counter-Puncher
Damir Dzumhur,Counter-Puncher
Dan Goldie,Baseline Grinder
Dan Martin,Baseline Grinder
Daniel Altmaier,Big-Serve Aggressor
Daniel Cox,Counter-Puncher
Daniel De Jonge,All-Court Balanced
Daniel Dutra Da Silva,Counter-Puncher
Daniel Elahi Galan,Counter-Puncher
Daniel Evans,Counter-Puncher
Daniel Gimeno Traver,Counter-Puncher
Daniel Kosakowski,Baseline Grinder
Daniel Masur,All-Court Balanced
Daniel Michalski,Counter-Puncher
Daniel Nestor,All-Court Balanced
Daniel Nguyen,Counter-Puncher
Daniel Rincon,Baseline Grinder
Daniel Smethurst,Counter-Puncher
Daniel Vacek,All-Court Balanced
Daniil Medvedev,Big-Serve Aggressor
Danilo Petrovic,All-Court Balanced
Darian King,Counter-Puncher
Dario Acosta,Baseline Grinder
Darren Cahill,Counter-Puncher
David Ferrer,Counter-Puncher
David Goffin,Counter-Puncher
David Guez,Counter-Puncher
David Nalbandian,Counter-Puncher
David Perez Sanz,Baseline Grinder
David Prinosil,All-Court Balanced
David Wheaton,All-Court Balanced
Davide Sanguinetti,Counter-Puncher
Denis Gremelmayr,Counter-Puncher
Denis Istomin,All-Court Balanced
Denis Kudla,Counter-Puncher
Denis Shapovalov,Big-Serve Aggressor
Dennis Novak,Counter-Puncher
Dennis Novikov,All-Court Balanced
Derrick Rostagno,All-Court Balanced
Devin Britton,Baseline Grinder
Diego Hartfield,Counter-Puncher
Diego Schwartzman,Counter-Puncher
Dimitar Kuzmanov,Baseline Grinder
Dino Prizmic,Counter-Puncher
Dmitry Popko,Counter-Puncher
Dmitry Tursunov,All-Court Balanced
Dominic Stricker,All-Court Balanced
Dominic Thiem,All-Court Balanced
Dominik Hrbaty,All-Court Balanced
Dominik Koepfer,Counter-Puncher
Donald Young,Baseline Grinder
Dragos Dima,Counter-Puncher
Duck Hee Lee,Baseline Grinder
Dudi Sela,Counter-Puncher
Duje Ajdukovic,All-Court Balanced
Dusan Lajovic,Counter-Puncher
Dustin Brown,All-Court Balanced
Dylan Dietrich,All-Court Balanced
Dzmitry Zhyrmont,Counter-Puncher
Eddie Dibbs,Baseline Grinder
Edouard Roger Vasselin,Counter-Puncher
Eduardo Masso,Counter-Puncher
Eduardo Russi,Baseline Grinder
Eduardo Struvay,All-Court Balanced
Egor Gerasimov,All-Court Balanced
Elias Ymer,Counter-Puncher
Eliot Spizzirri,Counter-Puncher
Elliot Benchetrit,All-Court Balanced
Elmer Moller,Counter-Puncher
Emil Ruusuvuori,Counter-Puncher
Emilio Gomez,Counter-Puncher
Emilio Nava,Big-Serve Aggressor
Emilio Sanchez,Counter-Puncher
Enzo Couacaud,Counter-Puncher
Ergi Kirkin,Counter-Puncher
Ernesto Escobedo,All-Court Balanced
Ernests Gulbis,All-Court Balanced
Ethan Quinn,All-Court Balanced
Evan Furness,All-Court Balanced
Evan King,Counter-Puncher
Evan Zhu,Counter-Puncher
Evgeny Donskoy,Counter-Puncher
Evgeny Korolev,Baseline Grinder
Fabian Marozsan,Big-Serve Aggressor
Fabio Fognini,Counter-Puncher
Fabrice Santoro,Counter-Puncher
Facundo Arguello,Baseline Grinder
Facundo Bagnis,Counter-Puncher
Facundo Diaz Acosta,Counter-Puncher
Facundo Mena,Baseline Grinder
Farrukh Dustov,Baseline Grinder
Federico Agustin Gomez,All-Court Balanced
Federico Arnaboldi,Baseline Grinder
Federico Cina,Counter-Puncher
Federico Coria,Counter-Puncher
Federico Delbonis,Counter-Puncher
Federico Gaio,All-Court Balanced
Federico Luzzi,Counter-Puncher
Feliciano Lopez,All-Court Balanced
Felix Auger Aliassime,Big-Serve Aggressor
Felix Mantilla,Counter-Puncher
Fernando Gonzalez,All-Court Balanced
Fernando Meligeni,Counter-Puncher
Fernando Romboli,Baseline Grinder
Fernando Verdasco,Counter-Puncher
Fernon Wibier,All-Court Balanced
Filip Bergevi,Counter-Puncher
Filip Cristian Jianu,Counter-Puncher
Filip Dewulf,Counter-Puncher
Filip Horansky,Baseline Grinder
Filip Krajinovic,Big-Serve Aggressor
Filip Misolic,Counter-Puncher
Filippo Volandri,Counter-Puncher
Fitriadi M Rifqi,Counter-Puncher
Flavio Cobolli,Big-Serve Aggressor
Flavio Saretta,Counter-Puncher
Florent Serra,Counter-Puncher
Florian Mayer,Counter-Puncher
Frances Tiafoe,Big-Serve Aggressor
Francesco Maestrelli,All-Court Balanced
Francesco Passaro,Counter-Puncher
Francisco Cerundolo,Counter-Puncher
Francisco Clavet,Counter-Puncher
Francisco Comesana,All-Court Balanced
Francisco Llanes,Baseline Grinder
Franco Skugor,Counter-Puncher
Franco Squillari,Counter-Puncher
Frank Dancevic,Counter-Puncher
Gabriel Decamps,All-Court Balanced
Gabriel Diallo,Big-Serve Aggressor
Gabriel Markus,Counter-Puncher
Gabriele Felline,Baseline Grinder
Gael Monfils,All-Court Balanced
Galo Blanco,Big-Serve Aggressor
Gary Muller,Big-Serve Aggressor
Gastao Elias,All-Court Balanced
Gaston Etlis,All-Court Balanced
Gaston Gaudio,Counter-Puncher
Gavin Van Peperzeel,Baseline Grinder
Genaro Alberto Olivieri,Counter-Puncher
George Bastl,Baseline Grinder
Gerald Melzer,All-Court Balanced
Germain Gigounon,Baseline Grinder
Gianluca Mager,Baseline Grinder
Gianluigi Quinzi,Baseline Grinder
Gijs Brouwer,Counter-Puncher
Gilles Arnaud Bailly,Counter-Puncher
Gilles Muller,All-Court Balanced
Gilles Simon,Counter-Puncher
Giorgio Galimberti,Counter-Puncher
Giovanni Lapentti,Counter-Puncher
Giovanni Mpetshi Perricard,Big-Serve Aggressor
Giulio Zeppieri,All-Court Balanced
Goncalo Oliveira,All-Court Balanced
Gonzalo Escobar,Counter-Puncher
Gonzalo Lama,Baseline Grinder
Goran Ivanisevic,All-Court Balanced
Govind Nanda,Counter-Puncher
Greg Rusedski,All-Court Balanced
Grega Zemlja,All-Court Balanced
Gregoire Barrere,Big-Serve Aggressor
Grigor Dimitrov,Big-Serve Aggressor
Guido Andreozzi,Counter-Puncher
Guido Pella,Counter-Puncher
Guillermo Canas,Counter-Puncher
Guillermo Coria,Counter-Puncher
Guillermo Garcia Lopez,All-Court Balanced
Guillermo Vilas,Counter-Puncher
Gustavo Kuerten,All-Court Balanced
Guy Den Ouden,Counter-Puncher
Guy Forget,All-Court Balanced
Hady Habib,All-Court Balanced
Hamad Medjedovic,Big-Serve Aggressor
Harel Levy,Counter-Puncher
Harold Mayot,Counter-Puncher
Harold Solomon,Baseline Grinder
Harry Wendelken,Counter-Puncher
Hendrik Dreekmann,Counter-Puncher
Henri Laaksonen,Counter-Puncher
Henri Leconte,Counter-Puncher
Henri Squire,Counter-Puncher
Henrik Holm,All-Court Balanced
Henrik Sundstrom,Counter-Puncher
Henrique Rocha,Counter-Puncher
Henry Searle,Counter-Puncher
Hernan Casanova,Baseline Grinder
Hicham Arazi,Counter-Puncher
Hiroki Moriya,Baseline Grinder
Ho Gi Kang,Baseline Grinder
Holger Rune,Big-Serve Aggressor
Horacio Zeballos,All-Court Balanced
Hubert Hurkacz,All-Court Balanced
Hugo Dellien,Counter-Puncher
Hugo Gaston,Counter-Puncher
Hugo Grenier,All-Court Balanced
Hunter Reese,Baseline Grinder
Hyeon Chung,Counter-Puncher
Hyung Taik Lee,Counter-Puncher
Ignacio Buse,Counter-Puncher
Igor Andreev,Counter-Puncher
Igor Sijsling,All-Court Balanced
Ilie Nastase,Counter-Puncher
Illya Marchenko,Baseline Grinder
Ilya Ivashka,Counter-Puncher
Inaki Montes De La Torre,Counter-Puncher
Inigo Cervantes Huegun,Counter-Puncher
Irakli Labadze,Counter-Puncher
Ivan Dodig,Counter-Puncher
Ivan Gakhov,Counter-Puncher
Ivan Ivanov,All-Court Balanced
Ivan Lendl,All-Court Balanced
Ivan Ljubicic,All-Court Balanced
Ivo Heuberger,Counter-Puncher
Ivo Karlovic,All-Court Balanced
Ivo Minar,Baseline Grinder
Izak Van Der Merwe,Baseline Grinder
J J Wolf,Big-Serve Aggressor
Jack Brasington,Baseline Grinder
Jack Draper,Big-Serve Aggressor
Jack Sock,All-Court Balanced
Jacob Fearnley,All-Court Balanced
Jaime Faria,Big-Serve Aggressor
Jaime Yzaga,Counter-Puncher
Jakob Hlasek,Counter-Puncher
Jakub Mensik,Big-Serve Aggressor
James Blake,Counter-Puncher
James Duckworth,Big-Serve Aggressor
James Mccabe,All-Court Balanced
James Trotter,All-Court Balanced
James Ward,All-Court Balanced
Jamie Morgan,All-Court Balanced
Jan Choinski,Counter-Puncher
Jan Gunnarsson,Baseline Grinder
Jan Hernych,Baseline Grinder
Jan Kodes,Baseline Grinder
Jan Kroslak,All-Court Balanced
Jan Kumstat,All-Court Balanced
Jan Lennard Struff,Big-Serve Aggressor
Jan Michael Gambill,All-Court Balanced
Jan Siemerink,All-Court Balanced
Janko Tipsarevic,Counter-Puncher
Jannik Sinner,All-Court Balanced
Jared Donaldson,Big-Serve Aggressor
Jared Palmer,All-Court Balanced
Jarkko Nieminen,Baseline Grinder
Jarmere Jenkins,Counter-Puncher
Jason Jung,Counter-Puncher
Jason Kubler,Counter-Puncher
Jason Stoltenberg,Baseline Grinder
Jaume Munar,Counter-Puncher
Javier Barranco Cosano,Counter-Puncher
Javier Sanchez,Counter-Puncher
Jay Clarke,Baseline Grinder
Jean Rene Lisnard,Baseline Grinder
Jean Yves Aubone,All-Court Balanced
Jeff Tarango,Baseline Grinder
Jelle Sels,Counter-Puncher
Jenson Brooksby,Counter-Puncher
Jeremy Chardy,All-Court Balanced
Jeremy Jahn,Counter-Puncher
Jerome Kym,All-Court Balanced
Jerome Potier,Baseline Grinder
Jerzy Janowicz,All-Court Balanced
Jesper De Jong,All-Court Balanced
Jim Courier,All-Court Balanced
Jimmy Arias,Counter-Puncher
Jimmy Connors,Counter-Puncher
Jimmy Wang,Counter-Puncher
Jiri Hrebec,Baseline Grinder
Jiri Lehecka,Big-Serve Aggressor
Jiri Novak,Counter-Puncher
Jiri Vanek,Counter-Puncher
Jiri Vesely,All-Court Balanced
Jo Wilfried Tsonga,All-Court Balanced
Joachim Johansson,All-Court Balanced
Joakim Nystrom,Big-Serve Aggressor
Joao Fonseca,Big-Serve Aggressor
Joao Menezes,Counter-Puncher
Joao Sousa,Counter-Puncher
Joao Souza,All-Court Balanced
Johan Kriek,Counter-Puncher
Johan Sebastien Tatlot,Baseline Grinder
Johannes Haerteis,All-Court Balanced
John Isner,All-Court Balanced
John Marks,Counter-Puncher
John Mcenroe,All-Court Balanced
John Millman,Counter-Puncher
John Newcombe,All-Court Balanced
Jonas Bjorkman,Counter-Puncher
Jonas Svensson,Counter-Puncher
Jordan Thompson,All-Court Balanced
Jordi Arrese,Counter-Puncher
Joris De Loore,Counter-Puncher
Jose Acasuso,Big-Serve Aggressor
Jose Hernandez,Counter-Puncher
Jose Higueras,Counter-Puncher
Jose Luis Clerc,Counter-Puncher
Jose Rubin Statham,Baseline Grinder
Joshua Sheehy,All-Court Balanced
Jozef Kovalik,Counter-Puncher
Juan Aguilera,Counter-Puncher
Juan Antonio Marin,Counter-Puncher
Juan Bautista Torres,Counter-Puncher
Juan Carlos Ferrero,Counter-Puncher
Juan Carlos Prado Angelo,Counter-Puncher
Juan Carlos Saez,Baseline Grinder
Juan Ignacio Chela,Counter-Puncher
Juan Ignacio Londero,Counter-Puncher
Juan Manuel Cerundolo,Counter-Puncher
Juan Martin Del Potro,All-Court Balanced
Juan Monaco,Counter-Puncher
Juan Pablo Ficovich,Baseline Grinder
Juan Pablo Varillas,Counter-Puncher
Julian Reister,All-Court Balanced
Julien Benneteau,All-Court Balanced
Julien Boutter,Counter-Puncher
Juncheng Shang,Counter-Puncher
Jurgen Melzer,Counter-Puncher
Jurgen Zopp,Baseline Grinder
Jurij Rodionov,All-Court Balanced
Justin Engel,All-Court Balanced
Kamil Majchrzak,Counter-Puncher
Karel Novacek,Counter-Puncher
Karen Khachanov,Big-Serve Aggressor
Karim Alami,All-Court Balanced
Karim Mohamed Maamoun,Counter-Puncher
Karlis Ozolins,All-Court Balanced
Karol Beck,Baseline Grinder
Karol Kucera,Counter-Puncher
Karsten Braasch,All-Court Balanced
Karue Sell,Counter-Puncher
Kasidit Samrej,Baseline Grinder
Kaylan Bigun,Counter-Puncher
Kei Nishikori,Counter-Puncher
Kelly Evernden,Counter-Puncher
Ken Rosewall,Baseline Grinder
Kenneth Carlsen,All-Court Balanced
Kevin Anderson,All-Court Balanced
Kevin Curren,All-Court Balanced
Kevin King,All-Court Balanced
Kevin Krawietz,All-Court Balanced
Kilian Feldbausch,All-Court Balanced
Kim Warwick,Baseline Grinder
Kimmer Coppejans,Counter-Puncher
Kiranpal Pannu,Baseline Grinder
Konstantin Kravchuk,All-Court Balanced
Kris Van Wyk,Counter-Puncher
Kristian Pless,All-Court Balanced
Kristof Vliegen,All-Court Balanced
Kryce Didier Momo Kassa,Baseline Grinder
Kyle Edmund,Counter-Puncher
Kyrian Jacquet,Counter-Puncher
Laslo Djere,All-Court Balanced
Laurent Lokoli,Counter-Puncher
Laurynas Grigelis,Baseline Grinder
Leander Paes,Counter-Puncher
Leandro Riedi,Counter-Puncher
Learner Tien,Counter-Puncher
Leo Borg,Baseline Grinder
Leonardo Mayer,Counter-Puncher
Li Tu,Counter-Puncher
Liam Broady,Counter-Puncher
Liam Draxl,Baseline Grinder
Liang Chi Huang,Baseline Grinder
Libor Pimek,Baseline Grinder
Lleyton Hewitt,All-Court Balanced
Lloyd Harris,All-Court Balanced
Lorenzo Giustino,Counter-Puncher
Lorenzo Musetti,Counter-Puncher
Lorenzo Sonego,Big-Serve Aggressor
Luca Nardi,Counter-Puncher
Luca Van Assche,Counter-Puncher
Luca Vanni,Big-Serve Aggressor
Lucas Catarina,Counter-Puncher
Lucas Pouille,All-Court Balanced
Luciano Darderi,Big-Serve Aggressor
Luis Ayala,Counter-Puncher
Luis Herrera,Counter-Puncher
Lukas Klein,All-Court Balanced
Lukas Lacko,All-Court Balanced
Lukas Neumayer,Counter-Puncher
Lukas Rosol,Counter-Puncher
Lukasz Kubot,Counter-Puncher
Mackenzie Mcdonald,Counter-Puncher
Magnus Gustafsson,Counter-Puncher
Magnus Larsson,All-Court Balanced
Magnus Norman,Counter-Puncher
Makoto Ochi,Baseline Grinder
Maks Kasnikowski,Counter-Puncher
Malek Jaziri,Counter-Puncher
Malivai Washington,All-Court Balanced
Mansour Bahrami,Counter-Puncher
Manuel Orantes,Counter-Puncher
Marat Safin,All-Court Balanced
Marc Andrea Huesler,All-Court Balanced
Marc Gicquel,Baseline Grinder
Marc Lopez,Counter-Puncher
Marc Polmans,Counter-Puncher
Marc Rosset,All-Court Balanced
Marc Sieber,Counter-Puncher
Marcel Freeman,Baseline Grinder
Marcel Granollers,Counter-Puncher
Marcelo Arevalo,All-Court Balanced
Marcelo Filippini,Counter-Puncher
Marcelo Rios,Counter-Puncher
Marcelo Tomas Barrios Vera,Counter-Puncher
Marco Cecchinato,Counter-Puncher
Marco Trungelliti,Counter-Puncher
Marcos Baghdatis,All-Court Balanced
Marcos Daniel,Counter-Puncher
Marcos Giron,Big-Serve Aggressor
Marcus Willis,Big-Serve Aggressor
Mardy Fish,All-Court Balanced
Mariano Navone,Counter-Puncher
Mariano Puerta,Counter-Puncher
Mariano Zabaleta,Counter-Puncher
Marin Cilic,All-Court Balanced
Marinko Matosevic,Counter-Puncher
Mario Ancic,All-Court Balanced
Mario Vilella Martinez,All-Court Balanced
Marius Copil,All-Court Balanced
Mark Edmondson,Counter-Puncher
Mark Kevin Goellner,All-Court Balanced
Mark Lajal,All-Court Balanced
Mark Petchey,Counter-Puncher
Mark Philippoussis,All-Court Balanced
Mark Woodforde,Counter-Puncher
Markus Eriksson,Counter-Puncher
Markus Hipfl,All-Court Balanced
Marsel Ilhan,Baseline Grinder
Martin Borisiouk,Baseline Grinder
Martin Cuevas,Counter-Puncher
Martin Damm Sr,All-Court Balanced
Martin Jaite,Counter-Puncher
Martin Klizan,Counter-Puncher
Martin Landaluce,Counter-Puncher
Martin Redlicki,Baseline Grinder
Martin Verkerk,All-Court Balanced
Marton Fucsovics,Counter-Puncher
Masamichi Imamura,Baseline Grinder
Mate Delic,Baseline Grinder
Mate Valkusz,Counter-Puncher
Mateus Alves,All-Court Balanced
Mathias Bourgue,All-Court Balanced
Mats Wilander,Counter-Puncher
Matt Reid,All-Court Balanced
Matteo Arnaldi,Big-Serve Aggressor
Matteo Berrettini,Big-Serve Aggressor
Matteo Gigante,All-Court Balanced
Matteo Martineau,Big-Serve Aggressor
Matthew Ebden,Counter-Puncher
Matthias Bachinger,Counter-Puncher
Mattia Bellucci,Big-Serve Aggressor
Matwe Middelkoop,All-Court Balanced
Mauricio Echazu,Counter-Puncher
Max Hans Rehberg,Baseline Grinder
Max Houkes,All-Court Balanced
Max Mirnyi,All-Court Balanced
Max Purcell,All-Court Balanced
Max Schoenhaus,Baseline Grinder
Maxim Mrva,Counter-Puncher
Maxime Cressy,Big-Serve Aggressor
Maximilian Marterer,All-Court Balanced
Maximilian Neuchrist,Counter-Puncher
Maximo Gonzalez,Counter-Puncher
Mees Rottgering,Counter-Puncher
Michael Berrer,All-Court Balanced
Michael Chang,Counter-Puncher
Michael Geerts,Counter-Puncher
Michael Llodra,All-Court Balanced
Michael Mmoh,Counter-Puncher
Michael Redlicki,All-Court Balanced
Michael Russell,Counter-Puncher
Michael Stich,All-Court Balanced
Michael Westphal,All-Court Balanced
Michael Zheng,Counter-Puncher
Michal Przysiezny,Big-Serve Aggressor
Michel Kratochvil,Baseline Grinder
Michiel Schapers,Baseline Grinder
Mikael Pernfors,Counter-Puncher
Mikael Tillstrom,Counter-Puncher
Mikael Ymer,Counter-Puncher
Mike Bryan,Baseline Grinder
Mikhail Kukushkin,Counter-Puncher
Mikhail Youzhny,Counter-Puncher
Mili Poljicak,Counter-Puncher
Miljan Zekic,Counter-Puncher
Milos Raonic,All-Court Balanced
Milos Sekulic,Counter-Puncher
Miloslav Mecir,Counter-Puncher
Miloslav Mecir Jr,Baseline Grinder
Minhtuan Pham,Counter-Puncher
Miomir Kecmanovic,Counter-Puncher
Mirza Basic,All-Court Balanced
Mischa Zverev,Counter-Puncher
Mitchell Krueger,Baseline Grinder
Moez Echargui,Counter-Puncher
Mohamed Safwat,Counter-Puncher
Murphy Cassone,Counter-Puncher
N Sriram Balaji,All-Court Balanced
Naoki Nakagawa,Baseline Grinder
Nattan Benjasupawan,Baseline Grinder
Neale Fraser,Counter-Puncher
Neil Borwick,All-Court Balanced
Nicholas Alan Van Aken,Baseline Grinder
Nick Hardt,Counter-Puncher
Nick Kyrgios,Big-Serve Aggressor
Nicola Kuhn,Counter-Puncher
Nicola Pietrangeli,Counter-Puncher
Nicolai Budkov Kjaer,Counter-Puncher
Nicolas Almagro,All-Court Balanced
Nicolas Alvarez Varona,Baseline Grinder
Nicolas Arseneault,Counter-Puncher
Nicolas Devilder,Baseline Grinder
Nicolas Escude,Counter-Puncher
Nicolas Jarry,Big-Serve Aggressor
Nicolas Kiefer,All-Court Balanced
Nicolas Lapentti,Counter-Puncher
Nicolas Mahut,All-Court Balanced
Nicolas Massu,Counter-Puncher
Nicolas Mejia,Counter-Puncher
Nicolas Moreno De Alboran,All-Court Balanced
Nicolas Thomann,All-Court Balanced
Niels Mcdonald,Counter-Puncher
Niels Visker,Counter-Puncher
Nikola Cacic,Counter-Puncher
Nikola Milojevic,All-Court Balanced
Nikola Pilic,Counter-Puncher
Nikolas Sanchez Izquierdo,Counter-Puncher
Nikolay Davydenko,Counter-Puncher
Nikoloz Basilashvili,Big-Serve Aggressor
Nino Serdarusic,All-Court Balanced
Nishesh Basavareddy,All-Court Balanced
Noah Rubin,Counter-Puncher
Norbert Gombos,Big-Serve Aggressor
Novak Djokovic,All-Court Balanced
Nuno Borges,Big-Serve Aggressor
Oleksandr Ovcharenko,Counter-Puncher
Oleksii Krutykh,All-Court Balanced
Oliver Tarvet,All-Court Balanced
Olivier Delaitre,Baseline Grinder
Olivier Rochus,Counter-Puncher
Omar Camporese,All-Court Balanced
Omar Jasika,Counter-Puncher
Oscar Otte,All-Court Balanced
Otto Virtanen,All-Court Balanced
Ozan Baris,Counter-Puncher
Pablo Andujar,Counter-Puncher
Pablo Carreno Busta,Counter-Puncher
Pablo Cuevas,All-Court Balanced
Pablo Llamas Ruiz,Counter-Puncher
Paolo Cane,Counter-Puncher
Paolo Lorenzi,All-Court Balanced
Paradorn Srichaphan,All-Court Balanced
Pat Cash,All-Court Balanced
Patrick Brady,Baseline Grinder
Patrick Kaukovalta,All-Court Balanced
